,pseudotime,branch_gate,lineage,branch_index,batch,library_size_factor,cell_cycle_score,stress_score,spatial_x,spatial_y
cell_00000,0.77395606,0.9997923,Excitatory_Neuron,0,Batch_3,1.0028994,0.15931989,0.8482543,0.04072123,0.87672335
cell_00001,0.43887845,0.8553964,Oligodendrocyte,3,Batch_1,0.9625279,2.0342119,0.8339081,0.06601327,0.93213826
cell_00002,0.85859793,0.9999618,Microglia,4,Batch_1,0.9543804,0.04450904,0.50398254,0.8383615,1.5405145
cell_00003,0.697368,0.99903977,Excitatory_Neuron,0,Batch_2,1.0602299,0.09254007,0.663702,0.102581784,0.7308611
cell_00004,0.09417735,0.0059615048,NPC,-1,Batch_1,1.2139614,1.0365703,0.8311747,0.8240751,0.042782802
cell_00005,0.97562236,0.9999963,Excitatory_Neuron,0,Batch_1,1.0019615,0.0016772117,0.5000791,0.306512,1.1886282
cell_00006,0.7611397,0.9997316,Inhibitory_Neuron,1,Batch_1,0.80662066,0.0019498629,0.71345586,0.30922338,1.0267026
cell_00007,0.7860643,0.9998369,Microglia,4,Batch_2,0.81218016,0.13324228,0.6037902,0.10074703,1.3974533
cell_00008,0.12811363,0.011684632,NPC,-1,Batch_1,0.96685237,0.4452352,0.6651074,0.013263381,0.20768382
cell_00009,0.45038593,0.88160515,Oligodendrocyte,3,Batch_1,0.74582094,2.541754,0.6681219,0.3552886,0.8562742
cell_00010,0.37079802,0.60251623,Oligodendrocyte,3,Batch_1,1.0235907,2.633611,0.6567018,0.8353569,0.78219557
cell_00011,0.92676497,0.9999902,Inhibitory_Neuron,1,Batch_2,0.65369695,0.014102785,0.85678005,0.9199555,1.1997665
cell_00012,0.6438651,0.9972055,Excitatory_Neuron,0,Batch_2,1.0811812,0.20596915,0.7145854,0.061585557,0.7981466
cell_00013,0.8227616,0.99992174,Astrocyte,2,Batch_3,0.81831104,0.015946591,0.8614987,0.030908063,1.141341
cell_00014,0.4434142,0.8662596,Excitatory_Neuron,0,Batch_3,1.0980915,2.5002632,0.790697,0.15880062,0.5072135
cell_00015,0.22723871,0.079057254,NPC,-1,Batch_1,0.96821314,1.6951098,0.64044803,0.76628983,0.1865482
cell_00016,0.5545848,0.9835638,Oligodendrocyte,3,Batch_3,1.2099738,0.010995198,0.6974255,0.20488277,1.009858
cell_00017,0.063817255,0.0032571026,NPC,-1,Batch_2,0.74394125,0.0018507411,0.6559434,0.23081037,0.112733155
cell_00018,0.8276312,0.999929,Excitatory_Neuron,0,Batch_3,1.0003233,0.014583453,0.8314297,0.8889427,1.0302023
cell_00019,0.6316644,0.99643594,Inhibitory_Neuron,1,Batch_3,1.0903343,0.7955798,0.57503915,0.87494904,0.84161735
cell_00020,0.75808775,0.99971473,Astrocyte,2,Batch_2,1.1786863,0.18142389,0.8745649,0.6702892,1.1763713
cell_00021,0.35452595,0.5226144,Astrocyte,2,Batch_2,1.1138245,2.9668348,0.7321698,0.16401377,0.656173
cell_00022,0.970698,0.99999595,Oligodendrocyte,3,Batch_1,0.95581234,0.005637927,0.7447032,0.3811492,1.5928919
cell_00023,0.8931211,0.9999808,Inhibitory_Neuron,1,Batch_3,1.2302034,0.005636408,0.70672053,0.2361774,1.1852472
cell_00024,0.7783835,0.99980986,OPC,5,Batch_3,0.8130466,0.020674175,0.7217986,0.67184556,1.3854078
cell_00025,0.19463871,0.04281018,NPC,-1,Batch_2,1.0611795,1.9215999,0.7670702,0.77993107,0.2783005
cell_00026,0.466721,0.91168785,Microglia,4,Batch_2,0.7934294,2.4093268,0.7620141,0.14213373,1.0171102
cell_00027,0.043803766,0.0021850597,NPC,-1,Batch_1,1.3816373,0.35250354,0.58565885,0.89795583,0.03885452
cell_00028,0.1542895,0.019565843,NPC,-1,Batch_2,1.124645,0.4367334,0.7329761,0.4628259,0.20194356
cell_00029,0.68304896,0.9987217,Microglia,4,Batch_3,1.09264,0.24845533,0.6418506,0.79500586,1.2284234
