,Spatial_X,Spatial_Y
cell_00000,0.04072123,0.87672335
cell_00001,0.06601327,0.93213826
cell_00002,0.8383615,1.5405145
cell_00003,0.102581784,0.7308611
cell_00004,0.8240751,0.042782802
cell_00005,0.306512,1.1886282
cell_00006,0.30922338,1.0267026
cell_00007,0.10074703,1.3974533
cell_00008,0.013263381,0.20768382
cell_00009,0.3552886,0.8562742
cell_00010,0.8353569,0.78219557
cell_00011,0.9199555,1.1997665
cell_00012,0.061585557,0.7981466
cell_00013,0.030908063,1.141341
cell_00014,0.15880062,0.5072135
cell_00015,0.76628983,0.1865482
cell_00016,0.20488277,1.009858
cell_00017,0.23081037,0.112733155
cell_00018,0.8889427,1.0302023
cell_00019,0.87494904,0.84161735
cell_00020,0.6702892,1.1763713
cell_00021,0.16401377,0.656173
cell_00022,0.3811492,1.5928919
cell_00023,0.2361774,1.1852472
cell_00024,0.67184556,1.3854078
cell_00025,0.77993107,0.2783005
cell_00026,0.14213373,1.0171102
cell_00027,0.89795583,0.03885452
cell_00028,0.4628259,0.20194356
cell_00029,0.79500586,1.2284234
cell_00030,0.05163761,1.2574472
cell_00031,0.3605812,1.5477365
cell_00032,0.014780948,0.40919363
cell_00033,0.71848476,0.7746051
cell_00034,0.07945097,0.7330636
cell_00035,0.3382858,0.17749083
cell_00036,0.78174865,0.12462973
cell_00037,0.74896646,0.68404585
cell_00038,0.6402896,0.28706464
cell_00039,0.6940206,1.0275496
cell_00040,0.65123135,0.58601165
cell_00041,0.64127594,1.0139781
cell_00042,0.34965464,1.324101
cell_00043,0.028165704,0.38784677
cell_00044,0.44182584,1.0353571
cell_00045,0.04545965,1.217756
cell_00046,0.4688674,0.7344982
cell_00047,0.46407896,0.40046915
cell_00048,0.17872153,0.82497835
cell_00049,0.78426164,0.20194562
cell_00050,0.7042093,0.21959266
cell_00051,0.55953956,-0.082501106
cell_00052,0.92590857,1.4303638
cell_00053,0.2871871,0.75060266
cell_00054,0.2620322,1.4720632
cell_00055,0.18343581,1.4817694
