,UMAP_1,UMAP_2
cell_00000,8.4155655,-5.331188
cell_00001,1.8947414,4.796718
cell_00002,8.782551,-2.8802736
cell_00003,6.930198,-3.6930356
cell_00004,-5.902621,3.8378246
cell_00005,7.566092,-4.8124013
cell_00006,7.505421,-4.0238724
cell_00007,6.809566,-3.6095643
cell_00008,-4.697977,3.596849
cell_00009,2.007682,4.4402556
cell_00010,-0.44528633,6.643744
cell_00011,7.1408057,-4.3064485
cell_00012,5.8673587,-2.8705556
cell_00013,8.567362,-4.3012767
cell_00014,1.5008221,4.9100986
cell_00015,-4.9349027,6.268173
cell_00016,6.480487,0.34875083
cell_00017,-5.188119,1.7600465
cell_00018,8.677906,-4.829282
cell_00019,6.6835327,-2.5252864
cell_00020,8.256279,-3.4719038
cell_00021,-0.8573046,6.94975
cell_00022,10.850802,-1.987045
cell_00023,8.572003,-6.1334248
cell_00024,10.291598,-2.5542386
cell_00025,-4.7279763,4.4723415
cell_00026,1.9736179,4.3339105
cell_00027,-5.7800145,1.5361259
cell_00028,-4.5951233,3.431888
cell_00029,9.0212145,-2.0805032
cell_00030,9.883491,-1.366359
cell_00031,10.015674,-1.4788147
cell_00032,-2.2841814,6.2021685
cell_00033,-0.6720205,6.8310337
cell_00034,2.8108487,3.811194
cell_00035,-4.7412806,4.625574
cell_00036,-4.820198,4.161075
cell_00037,3.8904135,2.8643343
cell_00038,-3.9228315,5.207305
cell_00039,8.177373,-3.4502306
cell_00040,3.41179,4.7725773
cell_00041,8.715705,-5.3527503
cell_00042,8.832832,-1.9804195
cell_00043,-3.0839112,6.364051
cell_00044,6.7611833,-5.7243586
cell_00045,8.130623,-4.6466413
cell_00046,0.40662858,6.508306
cell_00047,-3.673187,6.6917806
cell_00048,6.4954324,-2.8133786
cell_00049,-4.2672205,3.9493985
cell_00050,-4.460616,5.544913
cell_00051,-5.689772,0.80247664
cell_00052,9.915795,-1.114857
cell_00053,7.852985,-4.154216
cell_00054,8.906047,-1.4627725
cell_00055,8.290932,-4.1643257
cell_00056,3.4818375,3.7448294
cell_00057,5.587707,-0.6209376
cell_00058,-4.0452523,3.6156619
cell_00059,-5.711473,3.6163754
cell_00060,6.0984664,-1.5731038
cell_00061,3.1576624,3.5522254
cell_00062,5.8755903,-0.8037058
cell_00063,9.421578,-0.9217905
cell_00064,6.74941,-2.7537704
cell_00065,4.6344476,0.5358369
cell_00066,5.3155127,-0.27106
cell_00067,-2.578321,6.4286995
cell_00068,-5.8739166,0.96954554
cell_00069,2.9107378,5.114116
cell_00070,-3.7143204,5.3310647
cell_00071,0.94458944,6.4219656
cell_00072,8.757281,-5.6497517
cell_00073,-3.757173,4.4822626
cell_00074,-5.947005,1.6622052
cell_00075,-2.9801009,6.536563
cell_00076,-3.0765731,7.1787972
cell_00077,7.0857673,-3.4910152
cell_00078,4.765784,-0.22215797
cell_00079,8.941285,-4.153733
cell_00080,7.0893865,-4.2016535
cell_00081,1.2585828,6.1901803
cell_00082,8.682684,-3.4486225
cell_00083,-4.650495,4.7390256
cell_00084,-5.935455,1.3599167
cell_00085,-5.1311903,3.2775562
cell_00086,9.658804,-2.120386
cell_00087,2.5547092,4.268396
cell_00088,-4.9728665,4.3787127
cell_00089,3.1464863,2.9327943
cell_00090,-4.009267,4.3239236
cell_00091,6.460283,-3.0153594
cell_00092,1.9026542,4.8246126
cell_00093,0.37192214,7.220248
cell_00094,-2.085973,6.4689097
cell_00095,7.868179,-0.8699236
cell_00096,-0.68814206,6.4509673
cell_00097,-5.0738964,2.6500247
cell_00098,-3.9491336,4.1018014
cell_00099,10.694202,-1.7943475
cell_00100,7.740599,-5.546389
cell_00101,8.285402,-3.3859577
cell_00102,-3.8449833,6.5126925
cell_00103,7.635568,-3.4835553
cell_00104,7.98391,-5.2737746
cell_00105,8.107175,-4.0679846
cell_00106,2.005462,4.999682
