,UMAP_1,UMAP_2,UMAP_3
cell_00000,10.06134,-3.701225,-0.6954611
cell_00001,5.418391,5.901071,0.58196217
cell_00002,11.42867,-1.8955648,0.5341792
cell_00003,10.342494,-1.9996612,-1.0442468
cell_00004,-3.0072987,5.364126,3.661333
cell_00005,11.07891,-3.2419586,-1.0965108
cell_00006,10.733759,-2.2826986,-0.68262255
cell_00007,11.421507,-1.6297032,-1.3376119
cell_00008,-2.3034146,5.0756693,4.1042256
cell_00009,5.69156,5.357028,0.37778607
cell_00010,2.7503908,6.91727,1.6412578
cell_00011,10.980073,-2.6429482,-1.3747355
cell_00012,9.871498,-0.84389526,-1.6149892
cell_00013,10.772588,-3.1617842,-0.0022628012
cell_00014,4.9217587,6.052878,0.5466085
cell_00015,-1.3388635,6.2917695,2.453158
cell_00016,9.714964,1.5091412,0.30483985
cell_00017,-3.1768103,3.5493712,4.641902
cell_00018,10.420391,-3.5544977,-0.2672666
cell_00019,9.88977,-0.9230308,-0.8540752
cell_00020,11.443285,-2.3227086,-0.22021048
cell_00021,2.1409466,6.5858016,1.8999201
cell_00022,10.883083,-1.8800011,2.75069
cell_00023,10.317789,-4.466634,-0.8947772
cell_00024,10.8563175,-2.3400345,2.0329483
cell_00025,-1.1005996,5.125323,4.390192
cell_00026,5.7560616,5.645632,0.17487499
cell_00027,-3.9908254,3.8231966,4.1535454
cell_00028,-2.2860687,5.055199,4.1999335
cell_00029,10.519273,-1.388,1.1509343
cell_00030,10.261275,-1.3997235,1.9122598
cell_00031,11.538067,-1.3462424,2.1201339
cell_00032,0.93563324,6.2191353,3.0513003
cell_00033,2.343156,6.650193,2.0240355
cell_00034,6.4943514,5.303021,0.04227552
cell_00035,-1.6353904,5.8926015,4.0831594
cell_00036,-1.9733313,5.030391,3.2509646
cell_00037,7.8873916,4.456889,-0.0021366193
cell_00038,-0.623888,5.0199785,3.1107001
cell_00039,10.766983,-2.0465736,-0.0003000857
cell_00040,6.652324,5.4609737,1.2198234
cell_00041,10.348368,-3.8154523,-0.50770676
cell_00042,11.731593,-1.1421753,0.6810718
cell_00043,0.09905553,5.9372582,2.4993818
cell_00044,11.191355,-3.290706,-1.8223367
cell_00045,10.415882,-3.1560009,-0.63138187
cell_00046,3.52412,6.848301,1.9010837
cell_00047,-0.37705165,6.6284065,2.495358
cell_00048,10.083869,-1.2092272,-1.2504363
cell_00049,-1.7613693,5.604288,4.5235467
cell_00050,-1.1175946,6.40051,3.6103632
cell_00051,-4.1505394,2.873628,4.6541033
cell_00052,11.301323,-0.8316086,2.1372118
cell_00053,9.875171,-2.598477,-0.3355085
cell_00054,10.856117,-0.8885593,1.3760023
cell_00055,10.896997,-2.5680783,-0.3419343
cell_00056,6.879255,4.9055986,0.58548725
cell_00057,9.2298,1.1640714,-0.91497874
cell_00058,-1.6243752,4.363024,3.5726378
cell_00059,-2.7253313,5.4222856,4.3858013
cell_00060,10.303535,0.30691445,-1.0955946
cell_00061,7.050896,5.067718,0.15978436
cell_00062,10.003573,1.1064745,-1.0252635
cell_00063,11.042857,-0.79403013,1.6882238
cell_00064,10.543563,-1.0699221,-1.106632
cell_00065,8.307266,1.967283,-0.4812189
cell_00066,9.304012,1.5696442,-1.0033826
cell_00067,0.44034797,6.7855606,2.9682524
cell_00068,-4.104756,3.1355586,4.930874
cell_00069,5.9341946,5.564225,1.3124304
cell_00070,-0.95257276,6.1767592,3.5117836
cell_00071,4.113214,6.562632,1.7422699
cell_00072,10.986203,-4.0974855,-0.5758611
cell_00073,-1.2413644,5.594629,3.4737616
cell_00074,-3.8596017,3.9601448,4.7164187
cell_00075,0.09945613,6.527216,2.9077249
cell_00076,0.3443405,7.1110635,2.5866597
cell_00077,10.951226,-1.4370317,-0.9424608
cell_00078,8.688612,1.7266709,-1.0235864
cell_00079,10.723641,-2.6656394,0.2261194
cell_00080,9.893188,-2.5773754,-1.2760078
cell_00081,4.5130205,6.6489673,1.6408583
cell_00082,10.65033,-2.5501735,0.31774935
cell_00083,-1.5801362,6.238157,4.1075583
cell_00084,-3.9345243,3.6191711,4.750959
cell_00085,-1.9414624,4.331553,4.32934
cell_00086,10.510015,-1.5563066,1.500358
cell_00087,6.0768,5.6750956,0.35890618
cell_00088,-2.3239288,5.25039,3.1658325
cell_00089,6.999235,4.616112,-0.3733465
cell_00090,-1.5852818,5.9784803,3.6650205
cell_00091,10.1144495,-1.2211981,-1.3028073
cell_00092,5.313269,5.8243523,0.6319695
cell_00093,3.3292732,6.190444,2.3535
cell_00094,0.8973852,6.227191,2.206912
cell_00095,10.232698,-0.021487616,0.6445897
cell_00096,2.3696926,6.899836,1.7465843
cell_00097,-2.7818334,4.1091895,4.1512914
cell_00098,-1.2609845,5.8127723,4.4415812
cell_00099,10.5938,-1.7218299,2.443947
cell_00100,10.282159,-3.7301774,-1.1510037
cell_00101,11.271921,-2.2954755,-0.11901784
cell_00102,-0.7795343,6.735838,3.2931018
cell_00103,11.593026,-2.071809,-0.62552077
cell_00104,10.494297,-3.3112032,-0.97852045
cell_00105,10.150505,-2.575923,-0.17171712
cell_00106,5.208369,5.754727,0.68646127
cell_00107,0.13088764,5.943401,2.5009396
cell_00108,-2.512228,4.404167,4.001798
cell_00109,10.748589,-2.2910097,1.0725783
cell_00110,6.957815,5.2194986,0.84644824
cell_00111,-1.3055387,5.1331644,4.003543
cell_00112,0.49316388,5.7269382,2.8026764
cell_00113,9.49526,1.1005538,-0.6847385
cell_00114,-2.0782917,5.13889,3.5374389
cell_00115,10.777034,-2.7628477,0.48741266
cell_00116,11.46673,-2.7258782,-1.5373174
cell_00117,10.152388,-2.8894598,-0.7828042
cell_00118,5.310836,5.8947935,1.0339004
cell_00119,10.470344,-0.22370474,-1.3461097
cell_00120,9.312376,0.929143,-0.6674003
cell_00121,10.711524,-0.92647433,-1.1809497
cell_00122,-2.482147,5.2662096,3.5586174
cell_00123,4.2407103,6.6700344,1.3006918
cell_00124,-3.803223,4.071325,4.38491
cell_00125,7.550357,4.315897,0.26653087
cell_00126,1.38991,6.7868805,2.5212152
cell_00127,-2.3862603,5.016848,3.4403877
cell_00128,-1.6561741,4.9755106,3.7279246
cell_00129,9.302242,0.0293754,-0.7661566
cell_00130,-1.5584002,5.195367,3.5711737
cell_00131,11.382749,-2.2181847,0.5157961
cell_00132,9.170599,0.3792336,-1.151896
cell_00133,1.2607856,6.6545124,2.0966012
cell_00134,9.20774,1.0514488,0.30107424
cell_00135,-3.9406397,3.3854775,4.199165
cell_00136,10.899442,-3.1684804,-1.0753655
cell_00137,7.166768,4.578155,0.4291967
cell_00138,11.229914,-1.51715,2.7063823
cell_00139,-3.3637726,4.154007,4.5377326
cell_00140,8.660021,3.2597747,0.27844408
cell_00141,7.1443324,4.413544,-0.008289425
cell_00142,11.148785,-2.1511288,1.9548631
cell_00143,10.032179,1.0617292,-0.3204114
cell_00144,6.4304113,5.2600274,0.07651903
cell_00145,-0.064981036,6.2101374,3.378395
cell_00146,0.8644732,6.8166738,2.5263324
cell_00147,8.019252,3.4901977,0.2596526
cell_00148,6.335432,5.767424,1.2069701
cell_00149,-4.3331156,3.4293067,4.6224613
cell_00150,10.931197,-2.1590562,-0.49373725
cell_00151,11.781828,-1.9252913,0.5387063
cell_00152,-1.2259352,5.3621492,3.9912004
cell_00153,8.365801,2.0070543,-0.77250963
cell_00154,-2.1030812,4.6247306,4.0245795
