,module,mean_expression,mean_unspliced,highly_variable,means,dispersions,dispersions_norm,mean,std
STEM_Gene_0001,stem,4.3722,1.4006,True,1.544192417108085,2.383258872404513,1.6446983,0.8294170743852853,1.1017312229708391
STEM_Gene_0002,stem,4.0818,1.4096,True,1.5072698908770295,2.448384587986246,2.213214,0.8145635662764311,1.0658870777317127
STEM_Gene_0003,stem,1.329,0.6716,True,0.7204826096315576,1.3026585323046938,2.1280882,0.43305129980444906,0.673071273323223
STEM_Gene_0004,stem,3.2844,1.1562,True,1.2977949343971953,2.026272978118318,1.9031149,0.7135364099264145,0.9924128873212305
STEM_Gene_0005,stem,3.4304,1.2094,True,1.389354539710007,2.457254648249051,2.6631217,0.7487102831095457,0.997187795630489
STEM_Gene_0006,stem,3.2178,1.2032,True,1.2711999528101872,1.937107800530238,1.6431358,0.7486318381339312,0.9413690539853996
STEM_Gene_0007,stem,5.746,1.7694,True,1.743220439558663,2.540647449717676,2.1801252,0.9431044496059418,1.1887302031792095
STEM_Gene_0008,stem,3.5898,1.2182,True,1.3845438984175227,2.182892124552291,1.8833281,0.7787931154817342,1.0058167943010032
STEM_Gene_0009,stem,2.4466,0.9634,True,1.1179076909738734,1.8412104015972046,1.7252578,0.6406972881764174,0.8823389392946608
STEM_Gene_0010,stem,3.0934,1.1424,True,1.245947182139146,1.8936797180754108,1.5165124,0.7173686131268739,0.9486464531285169
STEM_Gene_0011,stem,2.5814,0.9938,True,1.1618003372038026,2.0258331786868133,2.2417142,0.6496214211642742,0.8998434437898741
STEM_Gene_0012,stem,3.5916,1.2876,True,1.3925119343968386,2.286346013270449,2.1773648,0.7780888441234827,1.0010340486036837
STEM_Gene_0013,stem,0.8788,0.5432,True,0.5203181588924755,0.8759085719257557,2.8160336,0.3448603479921818,0.5281194830875998
STEM_Gene_0014,stem,1.8032,0.8106,True,0.8777530152016682,1.3680324613693702,2.0370743,0.5573825506478548,0.7271714224401716
STEM_Gene_0015,stem,2.2806,0.9372,True,1.0411493296774672,1.7438456247793799,1.7487038,0.5865500079542398,0.8595096364579312
STEM_Gene_0016,stem,1.9814,0.87,True,0.9539048087286874,1.5509257312240523,2.8734038,0.5783819371700287,0.7837393838701359
STEM_Gene_0017,stem,2.931,1.0872,True,1.2382979591334395,2.099181928506425,2.1156957,0.7134603842288255,0.9164884583688937
STEM_Gene_0018,stem,4.2314,1.465,True,1.5051561310055726,2.2982650709154213,1.792314,0.8091947535157203,1.0889194657058299
STEM_Gene_0019,stem,4.554,1.5058,True,1.566921660125118,2.3598079026686123,1.5792525,0.8504656392633915,1.1117743840161685
STEM_Gene_0020,stem,1.455,0.6948,True,0.7753075784602771,1.3357092620671205,1.4738555,0.4805785239726305,0.685789857051393
STEM_Gene_0021,stem,4.1858,1.3912,True,1.484178228157314,2.2648988815660998,1.6987631,0.8141316808253527,1.0683144929538089
STEM_Gene_0022,stem,3.9544,1.3644,True,1.4709767451212514,2.3007653899446607,1.7993244,0.7970001315623522,1.0644747648715673
STEM_Gene_0023,stem,2.3458,0.974,True,1.0708228722063255,1.7595638576851833,1.7917417,0.6129547018587589,0.8649887178809362
STEM_Gene_0024,stem,4.763,1.5408,True,1.5519662117006376,2.248769111097097,1.2693709,0.8751163437277079,1.0934807975953253
STEM_Gene_0025,stem,2.5156,0.9782,True,1.1185700507456853,1.7992518600972878,1.6078845,0.6398600098311901,0.8895554019800203
STEM_Gene_0026,stem,2.5406,0.9852,True,1.145666624392209,1.9444472876125727,2.0140486,0.6637657894104719,0.8799634617355669
STEM_Gene_0027,stem,2.4032,0.9342,True,1.1046900165594495,1.8757673277218536,1.8219259,0.629242233106494,0.8739735252622719
STEM_Gene_0028,stem,2.2804,0.9098,True,1.071339056727509,1.914917523122467,2.2171135,0.6283529509365559,0.8309434295065948
STEM_Gene_0029,stem,3.1778,1.1574,True,1.2910290041754813,2.03560801496139,1.9303331,0.7189001512944698,0.9769105677865905
STEM_Gene_0030,stem,5.6472,1.7232,True,1.7312681654670643,2.53598919941425,2.1654654,0.9234496977418661,1.193347191467287
STEM_Gene_0031,stem,3.2012,1.199,True,1.2819099809273524,1.961419391761771,1.7140211,0.7473403084099293,0.9523240265890839
STEM_Gene_0032,stem,2.8786,1.0472,True,1.200357935127118,1.853052116174822,1.7583833,0.7052130606919527,0.9131124970388117
STEM_Gene_0033,stem,4.4842,1.4592,True,1.5580467971726641,2.3777142708890335,1.6292247,0.844286628651619,1.1046069475520564
STEM_Gene_0034,stem,3.1366,1.1526,True,1.278082415076502,2.0124107644036915,1.8626968,0.7101967329293489,0.9747139234089163
STEM_Gene_0035,stem,4.1594,1.457,True,1.48809086259983,2.2730173585774436,1.7215254,0.7933116317123174,1.0892054472648052
STEM_Gene_0036,stem,4.5668,1.5394,True,1.596894859335827,2.580688036324439,2.1956737,0.8536597213059663,1.1056839965132441
STEM_Gene_0037,stem,6.3946,1.9994,True,1.8574900950006934,2.817437979981007,2.3787346,1.021194001659751,1.2039443321028271
STEM_Gene_0038,stem,4.0114,1.3898,True,1.4855924852545896,2.393631488136992,2.059699,0.8192098658144474,1.048203594866214
STEM_Gene_0039,stem,0.8216,0.5234,True,0.49806061183067607,0.8513179629526562,2.7093306,0.3270619348138571,0.5206567584251165
STEM_Gene_0040,stem,1.5728,0.738,True,0.849091377978173,1.602505001939043,2.233124,0.49577876079976557,0.737925617711704
STEM_Gene_0041,stem,2.2422,0.8926,True,1.0699521818281732,1.8173848217126518,1.9500605,0.6203468275457621,0.8491507379649269
STEM_Gene_0042,stem,3.4046,1.1646,True,1.3962993571038418,2.435159789819849,2.6003237,0.7538319017976522,1.0036253578595271
STEM_Gene_0043,stem,3.0974,1.1384,True,1.277561975906279,2.084231104123184,2.0721035,0.7095646383315325,0.9639250404670169
STEM_Gene_0044,stem,4.0446,1.322,True,1.4572802359115884,2.1860759786389963,1.4777623,0.8225503446817398,1.045390920548636
STEM_Gene_0045,stem,2.8208,1.056,True,1.2305854909151523,2.090413526385567,2.0901296,0.6909119960963725,0.9297157373986913
STEM_Gene_0046,stem,1.9778,0.8682,True,1.0007973895450366,1.9047187346500563,2.1891882,0.5661805827230215,0.8110845109490153
STEM_Gene_0047,stem,4.086,1.4462,True,1.5270779380940798,2.615267156793358,2.6811132,0.8012382969051599,1.0686326516975013
STEM_Gene_0048,stem,2.508,0.978,True,1.11186978898127,1.8274426922409899,1.6867445,0.651109673294425,0.8665465696773107
STEM_Gene_0049,stem,4.2246,1.4464,True,1.5112938582803759,2.315344857267613,1.8402017,0.8253069719046354,1.0808984202962322
STEM_Gene_0050,stem,3.79,1.3218,True,1.4582861064444275,2.3722009475056764,1.9996128,0.7861062408685684,1.0494999738335529
STEM_Gene_0051,stem,7.9148,2.3074,True,2.074466334685892,3.186123481618397,3.243885,1.0867957725524902,1.3034920565304622
STEM_Gene_0052,stem,2.2892,0.9574,True,1.052507771073437,1.717601607019915,1.6768456,0.5998644250690937,0.8629719400528424
STEM_Gene_0053,stem,2.852,1.0398,True,1.1813905472702968,1.8790883763723487,1.8312161,0.6666691454201936,0.9259995175477934
STEM_Gene_0054,stem,5.0104,1.666,True,1.6375047656057116,2.435084946349784,1.7893319,0.8663418517023325,1.1589086319995445
STEM_Gene_0055,stem,4.743,1.5338,True,1.6354578282589292,2.6901440082099213,2.501138,0.8753310650587082,1.1114293712088958
STEM_Gene_0056,stem,2.3374,0.947,True,1.0859584689230037,1.8258839215533336,1.9733318,0.6169392422199249,0.8703979181969437
STEM_Gene_0057,stem,4.259,1.444,True,1.5446097063142625,2.6278403376917616,2.3272638,0.8136120903104543,1.0757934563258305
STEM_Gene_0058,stem,2.3628,0.9488,True,1.0788849706595323,1.7410951640644234,1.7411729,0.615978940987587,0.8749357560624321
STEM_Gene_0059,stem,1.4716,0.6864,True,0.8205226363851484,1.5950672038035894,2.211957,0.48705514001250266,0.7118401203246648
STEM_Gene_0060,stem,5.1574,1.6518,True,1.6470123760877797,2.4406670775221135,1.8654771,0.8694422814577818,1.1667025830774678
STEM_Gene_0061,stem,6.415,1.9252,True,1.8870511531526282,2.8968813730144025,1.8730087,0.9870443924695254,1.24077381110627
STEM_Gene_0062,stem,3.1076,1.107,True,1.2465533884856295,1.8656862926366866,1.4348919,0.7419246321380139,0.9298440034838715
STEM_Gene_0063,stem,1.4366,0.6986,True,0.7795789829807963,1.3865947301025145,1.6186695,0.474344550421834,0.6941504407412404
STEM_Gene_0064,stem,1.7754,0.7784,True,0.8977159740203104,1.524973353250631,2.7547295,0.5370415126830339,0.7613998425906153
STEM_Gene_0065,stem,2.1682,0.8712,True,1.0519784096035059,1.9064960132144357,2.1940546,0.6088993444263935,0.8282746111856162
STEM_Gene_0066,stem,1.7468,0.7894,True,0.9046552093717002,1.6112263074556232,3.1491446,0.5315494660407305,0.7668074321295769
STEM_Gene_0067,stem,3.445,1.215,True,1.3441039864892517,2.119731245147509,1.7038121,0.72336613098979,1.0186369767967969
STEM_Gene_0068,stem,2.2554,0.9784,True,1.0741378210561179,1.9811755032148708,2.3985333,0.6101560570031405,0.8434131727943603
STEM_Gene_0069,stem,6.1594,1.8982,True,1.7997034120433113,2.665631384568194,1.9419367,0.9136920238763094,1.2444305625001453
STEM_Gene_0070,stem,4.0396,1.429,True,1.4549713870723766,2.1964320336885987,1.5067983,0.7972019480615854,1.0633379468505015
STEM_Gene_0071,stem,2.817,1.0698,True,1.1880865870432242,1.9211998824146697,1.9490172,0.6712684773772954,0.9214037895157386
STEM_Gene_0072,stem,2.8134,1.0308,True,1.2236448417131818,2.0503170051223027,1.9732201,0.7009667384058237,0.9181306030403692
STEM_Gene_0073,stem,4.1172,1.4122,True,1.4904764536228625,2.2806877474074465,1.7430314,0.8240232170730829,1.065032046711193
STEM_Gene_0074,stem,2.937,1.084,True,1.222886027181781,1.9205614072698796,1.5948914,0.6879252722710371,0.9468818772817067
STEM_Gene_0075,stem,1.4722,0.7224,True,0.7346313472524129,1.0483233948214852,1.3400614,0.4906970529794693,0.6387235621258258
STEM_Gene_0076,stem,3.3524,1.274,True,1.3270801439243813,2.179326088651846,1.8731927,0.7193214087128639,0.9940099476746899
STEM_Gene_0077,stem,2.2834,0.929,True,1.0344529122386759,1.6532399351083498,1.5006177,0.6290581778526306,0.8165551904245612
STEM_Gene_0078,stem,2.2764,0.9492,True,1.0686247190333915,1.9304067466015369,2.259524,0.6267586751967669,0.8274541869143263
STEM_Gene_0079,stem,3.7322,1.2338,True,1.4602830330098144,2.546464501724023,2.4882069,0.7792105250656605,1.0308117558620882
STEM_Gene_0080,stem,4.515,1.4612,True,1.5519296021408655,2.377803797636225,1.6294745,0.8275310951411724,1.1100737345253984
STEM_Gene_0081,stem,1.5718,0.7334,True,0.806394865483479,1.3020222472940703,1.3779863,0.5075747421145439,0.6978808793191046
STEM_Gene_0082,stem,1.7996,0.8104,True,0.9286553461269892,1.670642384715748,3.420841,0.5380129540205002,0.7830571111703658
STEM_Gene_0083,stem,1.988,0.8396,True,0.9631499343928611,1.6084978557525196,3.1366682,0.556966694059968,0.8124314970388121
STEM_Gene_0084,stem,1.681,0.7796,True,0.8419661682400159,1.4562058780339102,1.8167744,0.5366806008607149,0.6945946297533194
STEM_Gene_0085,stem,3.9032,1.3384,True,1.4567722430371528,2.318277749400406,1.8484249,0.810121495437622,1.0373159158261378
STEM_Gene_0086,stem,3.9412,1.314,True,1.4519560909669196,2.2303628617813978,1.6019323,0.8310766287386417,1.0276130889182298
STEM_Gene_0087,stem,8.6146,2.573,True,2.1480917732866995,3.2218969447629253,1.5450405,1.1079987774819136,1.3505090834000262
STEM_Gene_0088,stem,2.7064,1.019,True,1.1731032583642682,1.995848661411592,2.157837,0.687245973610878,0.8806352536452147
STEM_Gene_0089,stem,1.3742,0.7016,True,0.7434757193454677,1.2438783563616986,1.9459648,0.46424287504255773,0.6710973630539128
STEM_Gene_0090,stem,2.7344,1.0484,True,1.179875564485123,1.9348330670167007,1.9871541,0.6705126034259796,0.9119355630024928
STEM_Gene_0091,stem,1.5278,0.7284,True,0.7644438741148172,1.1556458236494507,0.9614166,0.5067539286404849,0.6515111006275266
STEM_Gene_0092,stem,2.9436,1.099,True,1.2161254382337283,1.8902297286803569,1.5064533,0.705968491846323,0.9253432568084369
STEM_Gene_0093,stem,2.41,0.9236,True,1.0989875121357326,1.7838168347637946,1.5647072,0.6281835807234049,0.8804869725312161
STEM_Gene_0094,stem,0.6758,0.5044,True,0.42236831826541577,0.7690467232817646,3.6442516,0.28300383296012876,0.4648522056041175
STEM_Gene_0095,stem,4.4328,1.504,True,1.547488878726866,2.3775451972366928,1.6287528,0.8369022114872933,1.09849472414944
STEM_Gene_0096,stem,2.1978,0.906,True,1.0334764618929748,1.7956605086806663,1.8905774,0.6110431206196546,0.8173390537479829
STEM_Gene_0097,stem,2.5048,1.058,True,1.0929838447576432,1.708122980906392,1.352964,0.6530363182127475,0.8565108947790548
STEM_Gene_0098,stem,5.2354,1.7058,True,1.6490300033462573,2.4330614471653553,1.8415414,0.8775441823095084,1.162573103022749
STEM_Gene_0099,stem,1.4308,0.6872,True,0.7679469356299327,1.3280591197419735,1.4520842,0.4753275591939688,0.6821390498413867
STEM_Gene_0100,stem,3.726,1.3102,True,1.4164482199375543,2.2899208809722076,2.1875253,0.7632896707504988,1.0362239565716618
STEM_Gene_0101,stem,6.3262,1.9028,True,1.817434293060579,2.6484740126608495,1.8925692,0.9420330289840698,1.2461038592048415
STEM_Gene_0102,stem,8.6832,2.4448,True,2.170096969297126,3.279590600690848,1.6756624,1.1080852406114339,1.3587685470787692
STEM_Gene_0103,stem,6.147,1.915,True,1.8375695338984384,2.732153216470169,2.133342,0.9719563790231943,1.231201667752161
STEM_Gene_0104,stem,2.4076,0.971,True,1.092497688643721,1.8830940108754677,1.8424213,0.6441101536333561,0.8431753411100075
STEM_Gene_0105,stem,4.3546,1.4982,True,1.5055545630213425,2.305692008240458,1.8131374,0.7992602834671736,1.0970601432512852
STEM_Gene_0106,stem,3.3462,1.1948,True,1.3778227590083143,2.4198272686084206,2.5567455,0.750973041754961,0.9873766468801289
STEM_Gene_0107,stem,4.972,1.6526,True,1.661541467084624,2.5855187833062976,2.3213398,0.8861132493764162,1.1436562088001232
STEM_Gene_0108,stem,5.2484,1.6708,True,1.7234334432989027,2.7528028545697576,2.8477993,0.9072500366955996,1.1631978547776352
STEM_Gene_0109,stem,5.9394,1.837,True,1.837050292657901,2.948660363344391,2.756305,0.9563053279995918,1.2066067733613146
STEM_Gene_0110,stem,2.145,0.8864,True,1.0122901965328763,1.661754165748115,1.5239304,0.6116272791624069,0.8081827208021415
STEM_Gene_0111,stem,3.1342,1.1238,True,1.244548087655295,1.8717281107484784,1.4525081,0.7331061569213867,0.9357452301960746
STEM_Gene_0112,stem,2.3448,0.903,True,1.0731584695686394,1.7776521678877708,1.8412691,0.6390713993668556,0.8392739891714636
STEM_Gene_0113,stem,4.3656,1.4662,True,1.5635446887051472,2.5395663292388817,2.0809133,0.8571401631623506,1.0766432072331076
STEM_Gene_0114,stem,3.3588,1.225,True,1.3375616268906931,2.116318763267598,1.6941133,0.7302169791638852,1.0069215149329636
STEM_Gene_0115,stem,3.4154,1.1654,True,1.292641115641995,1.9473781780965091,1.6730812,0.7507949958026409,0.9626353963373119
STEM_Gene_0116,stem,1.9682,0.8534,True,0.9625977398388699,1.6050565965318462,3.120932,0.5639306925266981,0.8047912933274733
STEM_Gene_0117,stem,3.873,1.3162,True,1.4182748148444004,2.228246143117733,2.0122333,0.7469158179968596,1.0631565839072896
STEM_Gene_0118,stem,3.2606,1.1866,True,1.323341388610544,2.143722298007111,1.7719996,0.7267988619625568,0.9914546583962688
STEM_Gene_0119,stem,3.2276,1.1946,True,1.3045248599118164,2.1026263345144867,2.1257386,0.7308454140156507,0.9723066653290129
STEM_Gene_0120,stem,8.3862,2.4674,True,2.0475220018669043,2.880338872745899,2.2533848,1.0649036301493644,1.340618090549291
STEM_Gene_0121,stem,4.2732,1.4534,True,1.5203450239038687,2.369933643669733,1.9932559,0.8379463541388512,1.072400061814929
STEM_Gene_0122,stem,5.3634,1.7456,True,1.6779674012380226,2.472957685489918,1.9670988,0.8820853593975305,1.182930419732298
STEM_Gene_0123,stem,7.1982,2.1266,True,1.9032324983657458,2.735106796069752,1.4423192,0.9903054634422064,1.280909275602137
STEM_Gene_0124,stem,2.8804,1.0528,True,1.1940707460926838,1.915201854558022,1.9322386,0.7277477260380983,0.8768089960903788
STEM_Gene_0125,stem,1.9776,0.8578,True,0.9819564566113779,1.754258704515597,1.7772158,0.5676693061709404,0.8062823669954617
STEM_Gene_0126,stem,2.357,0.9416,True,1.0979615374153162,2.0019371334741076,2.1748683,0.6290954769521951,0.8500441243203664
STEM_Gene_0127,stem,3.9952,1.4254,True,1.4422035963302549,2.1763312761668083,1.4504405,0.8184382548123598,1.0336494488201367
STEM_Gene_0128,stem,2.854,0.992,True,1.2060255028095077,1.8741643610699623,1.4596114,0.6785284078747034,0.945000469292691
STEM_Gene_0129,stem,1.3432,0.6764,True,0.7444627427822887,1.3174036913927811,2.1737742,0.45292196256518363,0.6805886254805923
STEM_Gene_0130,stem,3.6208,1.289,True,1.4121156273812634,2.447787660785804,2.6362145,0.7872479647368192,0.9905011272667049
STEM_Gene_0131,stem,3.3402,1.21,True,1.3136404929045271,1.9710039490555533,1.7419668,0.7639673543095589,0.97182606796518
STEM_Gene_0132,stem,3.0418,1.1394,True,1.304802618754759,2.3469051194639063,2.837983,0.7099326202780009,0.9571473688247424
STEM_Gene_0133,stem,2.02,0.8082,True,0.986039892699865,1.6659598475364765,1.5354459,0.5744354863286019,0.815610609258354
STEM_Gene_0134,stem,5.1942,1.705,True,1.6922149965980964,2.659019135937289,2.5526526,0.8759103315412998,1.1692498602270989
STEM_Gene_0135,stem,2.1754,0.8954,True,1.0083129547887053,1.5928437681935543,1.3352479,0.5999456924468279,0.823557144294405
STEM_Gene_0136,stem,3.0238,1.0696,True,1.2330410718534623,1.9786267119489942,1.7641926,0.6752954145520925,0.9628619418160779
STEM_Gene_0137,stem,2.3496,0.935,True,1.0896990687720647,1.8314981086672533,1.9887038,0.6222360232293606,0.8685163587510409
STEM_Gene_0138,stem,1.157,0.6544,True,0.6633377652764978,1.1807530991471604,1.7503788,0.4097313199609518,0.633614231702531
STEM_Gene_0139,stem,2.8444,1.0512,True,1.2278614892793254,2.081444260398283,2.063978,0.6994920859217644,0.9201748917885516
STEM_Gene_0140,stem,6.0058,1.7972,True,1.8364162103507202,2.807765031724755,2.3509023,0.957229124957323,1.2290817443819513
STEM_Gene_0141,stem,2.0022,0.8558,True,0.9458342569558746,1.5361881620050097,2.8060124,0.5702913736969233,0.7837387983332857
STEM_Gene_0142,stem,2.0564,0.8938,True,0.9705415865323447,1.5730018652766817,2.974353,0.5994756516098976,0.7785408182778162
STEM_Gene_0143,stem,2.7698,1.0196,True,1.1850518808824437,1.8656281763537965,1.793563,0.675026465150714,0.9239621503711081
STEM_Gene_0144,stem,1.5784,0.7174,True,0.8211691528019465,1.4717420189309183,1.8609884,0.5131334170520305,0.6940050232496056
STEM_Gene_0145,stem,2.666,1.0392,True,1.1645092317543164,1.9089797943903661,1.9148332,0.6577325420856476,0.9109478388244721
STEM_Gene_0146,stem,4.3098,1.4508,True,1.550892394842565,2.5015654994916767,1.9748625,0.8217502693921328,1.096075748019455
STEM_Gene_0147,stem,3.0926,1.177,True,1.2735729471523989,2.044269876802027,1.9555885,0.708689367261529,0.966272548732315
STEM_Gene_0148,stem,4.6616,1.5634,True,1.5824815687952347,2.4129291253020324,1.7275006,0.8192451874583959,1.1421180743144261
STEM_Gene_0149,stem,1.455,0.7136,True,0.7670928885330495,1.2904275372098863,1.3449892,0.47061874822974203,0.6916872501242732
STEM_Gene_0150,stem,2.151,0.8744,True,1.0015311977446666,1.6456465017668631,1.4798262,0.5816962451159954,0.8281982046051484
STEM_Gene_0151,stem,2.313,0.899,True,1.0467631589125406,1.7171707560212053,1.6756659,0.5997085086077452,0.8552845084124501
STEM_Gene_0152,stem,2.4306,0.987,True,1.0767493303270768,1.7147704697373545,1.6690936,0.643213725271821,0.8458452901729231
