,SOX2_like,PAX6_like,NEUROD1_like,RBFOX3_like,SLC17A7_like,GAD1_like,GFAP_like,OLIG2_like,AIF1_like,PDGFRA_like,MKI67_like,STRESS_like,CELL_CYCLE_like,MATURATION_like
cell_00000,0.5428525,0.0018810563,7.8142967,9.9386425,0.9620963,0.14431444,0.14311972,0.14086889,0.13900147,0.14573862,0.15931989,0.8482543,0.15931989,14.45994
cell_00001,2.0738213,2.9925992,4.7679205,7.439386,0.0605909,0.0605909,0.054251555,0.300913,0.039472032,0.070192516,2.0342119,0.8339081,2.0342119,3.9623094
cell_00002,0.38694024,9.7602286e-05,7.919273,9.977693,0.14751503,0.14751503,0.14697716,0.14595006,0.9672265,0.1481497,0.04450904,0.50398254,0.04450904,15.300971
cell_00003,0.73744375,0.018687902,7.6109667,9.847591,0.92139035,0.13820855,0.13587046,0.1315744,0.12811407,0.14104995,0.09254007,0.663702,0.09254007,13.0178585
cell_00004,8.233385,4.2538323,0.3589091,0.44367263,2.4770183e-05,2.4770183e-05,2.0382455e-05,1.5189427e-05,1.2474461e-05,3.3115324e-05,1.0365703,0.8311747,1.0365703,0.1659508
cell_00005,0.242299,7.881059e-07,7.9747753,9.9945135,0.99480844,0.14922127,0.14905006,0.14872074,0.14844058,0.14942218,0.0016772117,0.5000791,0.0016772117,15.776359
cell_00006,0.5714078,0.0028328476,7.789572,9.9285145,0.14356552,0.9571035,0.14222287,0.13970122,0.13761689,0.14516985,0.0019498629,0.71345586,0.0019498629,14.272096
cell_00007,0.5171871,0.0012657839,7.8350377,9.946897,0.1449441,0.1449441,0.14387545,0.1418568,0.93451154,0.14621547,0.13324228,0.6037902,0.13324228,14.620423
cell_00008,7.1882815,5.6899257,0.4949551,0.6521443,6.7412126e-05,6.7412126e-05,5.5579883e-05,4.1515807e-05,3.413684e-05,8.9788635e-05,0.4452352,0.6651074,0.4452352,0.23203129
cell_00009,1.9805268,2.606185,4.986927,7.693476,0.06624798,0.06624798,0.059656646,0.33364174,0.043992333,0.07608945,2.541754,0.6681219,2.541754,4.315214
